Project,Benchmark,Average Duration,Standard Deviation
eclipse,map,0.076610876211199,0.007745550956132986
JCTools,oneReferenceArgBaseline,6.471543567896741e-08,2.371891809855781e-08
apache,benchmarkConversionStringToChar,3.37466886281269e-05,8.352971627186254e-06
eclipse,selectAll,1.0768343542442576,0.023034005436972226
jgrapht,testSuurballeKDisjointShortestPaths,0.35495999788373395,0.023975028207381826
apache,TraversalConstructionBenchmark,0.00043097800567043417,6.701839712638533e-05
raphw,benchmarkCglib,0.0009795201611983162,0.002064712501915352
apache,loadValidityBufferAllOne,5.492986956962223e-07,4.4497150299041126e-07
crate,measureParseSimpleSelect,1.3019402690331374e-05,5.305618739589614e-06
HdrHistogram,skinnyEncodeIntoCompressedByteBuffer,0.00013407432612879655,0.0015175626439474083
yellowstonegames,measureXoRoR,5.8635825214883084e-08,5.254059255725253e-09
ReactiveX,groupBy,0.029739239338174062,0.0043487022615431
prestodb,benchmarkWithoutFlatten,1.2054400335867725,0.007876075223047643
HdrHistogram,skinnyEncodeIntoCompressedByteBuffer,0.0001439081377767058,0.002193036956399289
RoaringBitmap,batchIterate,0.5315324542975224,0.0038012386560524595
JCTools,unalignedPrimitiveArgsBaseline,6.450333232552182e-08,2.1045966402236463e-08
netty,setGetLong,1.4642555961355742e-06,1.213753444108502e-07
JCTools,alignedPrimitiveArgsBaseline,6.125733226794378e-08,2.3856205058095834e-08
apache,JdbcAdapterBenchmarks,0.0006489218095500758,6.88495998424504e-05
zalando,contentType1,7.416617399812006e-08,1.0031621449873178e-08
eclipse,ListVsMapBenchmark,3.9488163516540635e-06,2.331223357466508e-06
yellowstonegames,insertIntegerLinkedHashMap2,0.0019311687805628587,0.00048359597074001866
imglib,fixedThreadPool,0.05760410801493353,0.019663006245943977
zalando,fastJsonResponse,2.670876850473811e-05,7.219306035733751e-06
crate,benchmarkHLLAggregationOnHeap,0.0011525748220585518,9.453955450824117e-05
cantaloupe-project,processor,0.0009253657646437422,0.00238726944864114
apache,RecordBatchIterationBenchmark,0.0014388970837333,0.00016331473848204943
ReactiveX,flatMapCompletable,0.031967920492088985,0.0012727092018144871
apache,RecordBatchIterationBenchmark,6.837155643730898e-06,1.7728085153604202e-06
r2dbc,parametrizedR2dbc,2.2700231758159318e-05,0.0009139641103596329
cantaloupe-project,processor,0.00016625278941433737,1.3520009599890679e-05
yellowstonegames,insertIntegerLinkedHashMap,0.0019207404845830414,0.0005555603936001452
apache,TransferPairBenchmarks,1.7973466775565694e-06,7.454704194295973e-07
apache,RecordBatchIterationBenchmark,7.001845269402359e-05,1.419467574401139e-05
ReactiveX,flowFlatMapFlowable0,3.3862321344820304e-07,2.9475605202481076e-07
eclipse,map,4.348354774084273,0.23914242832861607
openzipkin,bytebuffer_moshiDecoder,0.007997540508591148,0.0009382114355823369
protostuff,bufferedRecycledSerializer,1.758821320270121e-06,7.776499071461111e-07
apache,readWriteBenchmark,1.7361798689431966e-05,2.6811898972609044e-07
prestodb,benchmarkWithFlatten,4.368035885249249e-05,2.385829670103253e-06
apache,CompressedRecordBatchValidationBenchmark,7.417114311888856e-05,0.0014427234264597277
eclipse,selectDistinct,0.07223622806186646,0.009810430775468533
apache,RecordBatchIterationBenchmark,1.2418546003679571e-05,5.397088814233019e-06
openzipkin,padLeft_17Chars,1.1346922346945734e-07,2.2945604609366514e-07
apache,SlowTypeConverterTest,1.2872528138826441e-07,8.849240654824329e-08
jgrapht,testBellmanFordWattsStogatz,4.199421749930934,0.4102082639635277
protostuff,bufferedSerializer,1.0027278747408232e-07,2.1137389279794247e-07
cantaloupe-project,processor,0.00030972311517035944,0.007769403234749137
openzipkin,bytebuffer_zipkinDecoder,0.0017689490304842374,0.00023179714838407825
apache,operators,8.948785578468785e-08,1.3626420361852548e-08
openzipkin,shouldInvoke_randomData,6.999931739743719e-07,3.165993579538679e-07
zalando,contentType3,7.542706236131735e-08,1.2111481552579166e-08
jdbi,neq4To4,6.590667858939122e-07,3.177860905070156e-07
JCTools,tenMixedArgsBaseline,5.8600166380309365e-08,2.0625083999340808e-08
ReactiveX,pipelineCompletable,1.579240319147249e-05,4.17486627210801e-05
apache,SimpleMockTest,0.016716009516860867,0.009847995803463438
raphw,benchmarkByteBuddyWithAccessor,0.002148944095936585,0.003130237677782595
eclipse,HttpMethodBenchmark,2.113550885874782e-07,3.1185087592335726e-07
JCTools,contains,6.375954445778321e-08,4.606112113774001e-09
netty,setBytes,6.636070509775541e-08,7.641637212470206e-09
jdbi,mapEnumCaseInsensitive,0.0004038417397425175,8.315888379641296e-05
zalando,LogbookBenchmark,3.9341967110246956e-05,9.235971149405164e-05
openzipkin,bytebuffer_zipkinDecoder,0.005313920550858019,0.0005995797308437501
apache,SimpleOperatorTest,0.01971158977844939,0.0032557655188032424
protostuff,runtime_sparse_deserialize_10_int_field,1.8697149598627954e-07,1.935949423958504e-07
h2oai,writeMap,0.009973934906351786,0.005081828271613075
RoaringBitmap,batchIterate,0.05308454338559834,0.0009626114633162579
apache,WriteChannelBenchmark,1.5471707558569817e-07,6.123571288589478e-07
