filename,Mean,Variance,Standard Deviation,Range,Coefficient of Variation
eclipse__eclipse-collections#org,-0.14357671138866396,-0.06196215483360755,-0.08780774870698566,-0.06504883832732312,-0.27584582644598304
JCTools__JCTools#org,-0.19970934111797603,-0.06220960927971543,-0.15154385622210925,-0.08475723776210635,-0.24145993863644788
apache__camel#org,-0.19968466238539442,-0.06220960899192978,-0.15147531677606144,-0.08459589007502066,-0.2568762488707698
eclipse__rdf4j#org,0.589285570615737,-0.06002119489610756,0.03799731900345196,-0.017069635529615726,-0.2861731843944091
jgrapht__jgrapht#org,0.060369283664363234,-0.059838733040811325,0.045740772306518886,-0.02490462319186757,-0.2801937526444954
apache__tinkerpop#org,-0.19939361157936486,-0.062209590753843844,-0.15099257289659093,-0.08449613734248236,-0.26879777942302796
raphw__byte-buddy#net,-0.19899169554289436,-0.06219202559834531,-0.13455402167267974,-0.06319743124756469,-0.015850824245288626
apache__arrow#org,-0.19970898606452891,-0.06220960927890107,-0.15154038983444842,-0.08475287537674336,-0.18399289958257115
crate__crate#io,-0.1996998492375387,-0.062209609163609604,-0.1515003927205817,-0.08469917179694342,-0.23614735813096296
HdrHistogram__HdrHistogram#bench,-0.1996111524718785,-0.062200110148530115,-0.13905638814900845,-0.05483256141922898,1.1775027303208963
yellowstonegames__SquidLib#squidpony,-0.19970934557249775,-0.06220960927971764,-0.15154400816505545,-0.08475742851850217,-0.2773354319372403
ReactiveX__RxJava#io,-0.17791949129180853,-0.06213160651804874,-0.11575961137306212,-0.0688202751748788,-0.2699994719913981
prestodb__presto#com,0.6835147641029075,-0.06195374459854556,-0.08673369545604138,-0.0766801602176765,-0.28809799476917963
HdrHistogram__HdrHistogram#bench,-0.19960394725244163,-0.0621897719810881,-0.13349807015675083,-0.04808737160283357,1.6854140828296174
RoaringBitmap__RoaringBitmap#org,0.1897436646787538,-0.06215001001460171,-0.12026455960338034,-0.0744185142945522,-0.2880179672933286
JCTools__JCTools#org,-0.19970934127338383,-0.06220960927971593,-0.15154387821719512,-0.08475720131079216,-0.24667256232245313
netty__netty#io,-0.1997083156769438,-0.06220960927965699,-0.15154305263052711,-0.0847563648751778,-0.27820512481064497
JCTools__JCTools#org,-0.19970934365172335,-0.0622096092797154,-0.15154385509240742,-0.08475695516436393,-0.2384889767914737
apache__arrow#org,-0.1992339244724655,-0.06220958972761497,-0.15097750436353713,-0.08459201381151998,-0.2751985587687981
zalando__logbook#org,-0.19970933419343387,-0.06220960927971734,-0.1515439688516287,-0.08475738739081139,-0.27142060295132864
eclipse__jetty,-0.1997064952429058,-0.062209609257301735,-0.15152486831508435,-0.0847187501639186,-0.21245842340792767
yellowstonegames__SquidLib#squidpony,-0.19829442398891592,-0.06220864466034893,-0.1475646547953341,-0.08296402409686841,-0.2565009868392618
