File,Mean,Variance,Standard Deviation,Range
eclipse__eclipse-collections#org.eclipse.collections.impl.jmh.map.ChainMapPutTest.ec#isPresized=true&loadFactor=0.75f&size=750000.json,0.07846158604141618,4.493387936980612e-05,0.006702154235323498,0.080478208
JCTools__JCTools#org.jctools.channels.spsc.SpscProxyChannelBenchmark.oneReferenceArgBaseline#limit=1.json,6.071294284810718e-08,7.167186354537087e-16,2.676713003801355e-08,1.4629509886999818e-06
apache__camel#org.apache.camel.converter.ConverterBenchmarkTest.benchmarkConversionStringToChar#.json,3.310440827897094e-05,2.483497395269012e-11,4.98263775908005e-06,8.596139525612916e-05
eclipse__rdf4j#org.eclipse.rdf4j.benchmark.QueryOrderBenchmark.selectAll#countk=250&limit=10&syncThreshold=10000.json,1.1048159569913159,0.0002847445838129966,0.01687155827840401,0.22649241600000014
jgrapht__jgrapht#org.jgrapht.perf.shortestpath.KShortestPathsPerformance.testSuurballeKDisjointShortestPaths#k=50&n=100&numberOfQueries=20&p=0.3.json,0.3591085614856379,0.0004337076531091263,0.020822170736346204,0.15309209600000007
apache__tinkerpop#org.apache.tinkerpop.gremlin.process.TraversalConstructionBenchmark.testAddVAddEWithPropsChained#.json,0.0004333071620239308,3.4849818598438516e-09,5.902387543398611e-05,0.0005208742041553748
raphw__byte-buddy#net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkCglib#.json,0.0010118157535950532,8.809518743048913e-07,0.0009384336072423648,0.028319542018348624
apache__arrow#org.apache.arrow.vector.BitVectorHelperBenchmarks.loadValidityBufferAllOne#.json,5.467697722815396e-07,1.3961413820465008e-13,3.735873484152863e-07,1.8785405031151854e-05
crate__crate#io.crate.analyze.PreExecutionBenchmark.measureParseSimpleSelect#.json,1.2470994401613054e-05,1.594000747415819e-11,3.9918270867318244e-06,0.0001750382685117062
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=shortestjHiccupLine&numberOfSignificantValueDigits=3.json,0.00012816507615582008,3.552115208386473e-07,0.0005958967022195396,0.025514256281318683
yellowstonegames__SquidLib#squidpony.performance.RNGBenchmark.measureXoRoR#.json,6.270837741128149e-08,7.601236513360368e-18,2.7565735415928254e-09,3.2171762710351286e-08
ReactiveX__RxJava#io.reactivex.rxjava3.parallel.ParallelPerf.groupBy#compute=100&count=10000&parallelism=3.json,0.029950114730235074,1.906763363837528e-05,0.0043659208677283195,0.099807232
prestodb__presto#com.facebook.presto.operator.BenchmarkBlockFlattener.benchmarkWithoutFlatten#blockSize=100000&nestedLevel=4&numberOfIterations=1000.json,1.207072079861055,5.371528512927874e-05,0.007327847170368774,0.023068671999999735
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=case3&numberOfSignificantValueDigits=2.json,0.00021622501939005804,1.9700874414150365e-05,0.004437825401677669,0.2380210549647059
