File Name,Mean,Variance,Standard Deviation,Range,Coefficient of Variation
eclipse__eclipse-collections#org.eclipse.collections.impl.jmh.map.ChainMapPutTest.ec#isPresized=true&loadFactor=0.75f&size=750000.json,0.0766108762112,5.9993559614052614e-05,0.007745550956132986,0.127926272,10.110249796360687
JCTools__JCTools#org.jctools.channels.spsc.SpscProxyChannelBenchmark.oneReferenceArgBaseline#limit=1.json,6.471543567896754e-08,5.625870757660934e-16,2.371891809855781e-08,1.4885128874361187e-06,36.65109853578014
apache__camel#org.apache.camel.converter.ConverterBenchmarkTest.benchmarkConversionStringToChar#.json,3.374668862812675e-05,6.977213500457858e-11,8.352971627186254e-06,0.0010487763966591766,24.751974095094855
eclipse__rdf4j#org.eclipse.rdf4j.benchmark.QueryOrderBenchmark.selectAll#countk=250&limit=10&syncThreshold=10000.json,1.0768343542442667,0.0005305654064704661,0.023034005436972226,0.4393533439999997,2.139048159652905
jgrapht__jgrapht#org.jgrapht.perf.shortestpath.KShortestPathsPerformance.testSuurballeKDisjointShortestPaths#k=50&n=100&numberOfQueries=20&p=0.3.json,0.3549599978837334,0.0005748019775447541,0.023975028207381826,0.38849740800000004,6.75429015954491
apache__tinkerpop#org.apache.tinkerpop.gremlin.process.TraversalConstructionBenchmark.testAddVAddEWithPropsChained#.json,0.00043097800567043173,4.491465553389893e-09,6.701839712638533e-05,0.001696259047619048,15.550305640802051
raphw__byte-buddy#net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkCglib#.json,0.0009795201611983181,4.263037715565552e-06,0.002064712501915352,0.13994352640000002,210.78815768216953
apache__arrow#org.apache.arrow.vector.BitVectorHelperBenchmarks.loadValidityBufferAllOne#.json,5.492986956962171e-07,1.979996384735456e-13,4.4497150299041126e-07,2.980421680312229e-05,81.00720181511176
crate__crate#io.crate.analyze.PreExecutionBenchmark.measureParseSimpleSelect#.json,1.3019402690331376e-05,2.8149590209884482e-11,5.305618739589614e-06,0.0003783875120181406,40.751629439419176
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=shortestjHiccupLine&numberOfSignificantValueDigits=3.json,0.00013407432612879712,2.3029963783046485e-06,0.0015175626439474083,0.19423886201204163,1131.881612061639
yellowstonegames__SquidLib#squidpony.performance.RNGBenchmark.measureXoRoR#.json,5.863582521488341e-08,2.7605138662672195e-17,5.254059255725253e-09,2.503367120715544e-07,8.960493412466935
ReactiveX__RxJava#io.reactivex.rxjava3.parallel.ParallelPerf.groupBy#compute=100&count=10000&parallelism=3.json,0.029739239338174125,1.8911211359550073e-05,0.0043487022615431,0.10344634181818183,14.622775694067547
prestodb__presto#com.facebook.presto.operator.BenchmarkBlockFlattener.benchmarkWithoutFlatten#blockSize=100000&nestedLevel=4&numberOfIterations=1000.json,1.2054400335872002,6.203256091910497e-05,0.007876075223047643,0.05242879999999972,0.6533776051563245
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=case3&numberOfSignificantValueDigits=2.json,0.0001439081377767078,4.809411092133057e-06,0.002193036956399289,0.2380210549647059,1523.9144848097965
RoaringBitmap__RoaringBitmap#org.roaringbitmap.iteration.BatchIteratorBenchmark.batchIterate#bufferSize=256&dirtiness=0.5&keys=16384&runniness=0.1.json,0.5315324542976,1.4449415320267508e-05,0.0038012386560524595,0.06710886400000005,0.7151470479964676
JCTools__JCTools#org.jctools.channels.spsc.SpscProxyChannelBenchmark.unalignedPrimitiveArgsBaseline#limit=128000.json,6.4503332325521e-08,4.4293270180406606e-16,2.1045966402236463e-08,1.7251138600247275e-06,32.62771959753395
netty__netty#io.netty.buffer.CompositeByteBufRandomAccessBenchmark.setGetLong#bufferType=SMALL_CHUNKS&size=1024000.json,1.4642555961355682e-06,1.4731974230852503e-14,1.213753444108502e-07,7.154313994743234e-06,8.289218407713884
JCTools__JCTools#org.jctools.channels.spsc.SpscProxyChannelBenchmark.alignedPrimitiveArgsBaseline#limit=128000.json,6.125733226794384e-08,5.691185197739172e-16,2.3856205058095834e-08,3.322819885950716e-06,38.9442441824713
apache__arrow#org.apache.arrow.adapter.jdbc.JdbcAdapterBenchmarks.consumeBenchmark#.json,0.000648921809550073,4.740267398465546e-09,6.88495998424504e-05,0.001073936743683061,10.60984525858161
zalando__logbook#org.zalando.logbook.json.JsonMediaTypeBenchmark.contentType1#.json,7.416617399812004e-08,1.0063342891355564e-16,1.0031621449873178e-08,5.172914668504977e-07,13.525871578770477
eclipse__jetty.project#org.eclipse.jetty.server.jmh.ListVsMapBenchmark.testHashMapAndLinkedList#length=11&lookups=30&mostly=hits&size=12.json,3.948816351654103e-06,5.4346023423974186e-12,2.331223357466508e-06,0.00025130675314587495,59.03600344670351
yellowstonegames__SquidLib#squidpony.performance.DataStructureBenchmark.insertIntegerLinkedHashMap2#NEED_TO_ENLARGE=1&SIZE=65536.json,0.0019311687805628362,2.3386506291598098e-07,0.00048359597074001866,0.011641016655737704,25.04162119890294
imglib__imglib2#net.imglib2.parallel.ParallelizationBenchmark.fixedThreadPool#.json,0.05760410801493334,0.00038663381462803186,0.019663006245943977,1.157300224,34.13472914266205
zalando__logbook#org.zalando.logbook.HttpLogFormatterBenchmark.fastJsonResponse#.json,2.670876850473823e-05,5.211837963758177e-11,7.219306035733751e-06,0.00040346088479742035,27.029722596356404
crate__crate#io.crate.operation.aggregation.HyperLogLogDistinctAggregationBenchmark.benchmarkHLLAggregationOnHeap#.json,0.0011525748220585364,8.937727366616704e-09,9.453955450824117e-05,0.006059587947663552,8.202465705383919
cantaloupe-project__cantaloupe#edu.illinois.library.cantaloupe.perf.processor.Java2dProcessorPerformance.processWithBMP#.json,0.0009253657646437561,5.699055420415371e-06,0.00238726944864114,0.14048330322580646,257.9811724026966
